lot_id,auction_id,sale_date,year,make,model,engine_cc,odometer,sold_price,hammer_price,lot_name
REC16263-1,243,2025-11-23,1978,Rickman,Metisse Triumph,498,,6900,6000,1978 Rickman Metisse Triumph 498cc
REC16271-1,243,2025-11-23,1995,Honda,Cbr900Rr-S Sc28 Fireblade,893,,3335,2900,1995 Honda CBR900RR-S SC28 FireBlade 'Urban Tiger' 893cc
REC16284-1,243,2025-11-23,1990,Yamaha,V-Max,1198,,2070,1800,"1990 Yamaha V-Max 1,198cc"
REC16285-1,243,2025-11-23,2009,Buell,1125R,1125,,4025,3500,"2009 Buell 1125R 1,125cc"
REC16326-1,243,2025-11-23,1938,Triumph,Tiger 70 Zh Delux,,,4025,3500,1938 Triumph Tiger 70 ZH Deluxe 250cc
REC16329-1,243,2025-11-23,1957,Triumph,T110 Tiger,649,,4830,4200,1957 Triumph T110 Tiger 649cc
REC16330-2,243,2025-11-23,1984,Benelli,254 231Cc,231,,5175,4500,1984 Benelli 254 231cc
REC16331-1,243,2025-11-23,1990,Kawasaki,Kr-1,249,,4370,3800,1990 Kawasaki KR-1 249cc
REC16323-1,243,2025-11-25,1998,Triumph,Daytona 1200 Se,1180,,2875,2500,"1998 Triumph Daytona 1200 SE 1,180cc - #82 of 250"
REC16330-3,243,2025-11-25,1922,Ajs,Model B 2 3/4 Hp Touring,349,,4830,4200,1922 AJS Model B the 2¾hp Touring 349cc
REC16330-4,243,2025-11-25,1918,Sunbeam,3 1/2 Hp,499,,3220,2800,c.1918 Sunbeam 3½hp 499cc Project
REC16331-2,243,2025-11-25,1994,Honda,Cbr250Rr Mc22,249,,2185,1900,1994 Honda CBR250RR MC22 249cc
REC16331-3,243,2025-11-25,1989,Honda,Vfr400 Nc30,399,,1035,900,1989 Honda VFR400 NC30 Project 399cc956 -
REC16331-4,243,2025-11-25,1988,Honda,Cbr400R Nc23,398,,575,500,1988 Honda CBR400R NC23 Project 398cc
REC16336-1,243,2025-11-28,1953,Francis Barnett,Trials,197,,1035,900,1953 Francis-Barnett Trials 197cc
REC16338-4,243,2025-11-29,1962,Bsa,A10 Rocket Gold Star,646,,9775,8500,1962 BSA A10 Rocket Gold Star 646cc
REC16342-1,243,2025-11-30,1987,Honda,Nsr250R Mc16,249,,3680,3200,1987 Honda NSR250R MC16 249cc
REC16354-1,243,2025-12-05,1960,Ajs,Csr Model 31,650,,2185,1900,1960 AJS Model 31 CSR 646cc
REC16358-2,243,2025-12-08,1970,Bultaco,49,249,,3565,3100,1970 Bultaco Sherpa T Model 49 249cc
REC16376-1,243,2025-12-09,2004,Ducati,999R,999,,14720,12800,2004 Ducati 999R 999cc
REC16341-1,243,2025-12-12,1991,Honda,Vfr400R Nc30,398,,2500,2500,1991 Honda VFR400R NC30 Track/Race Bike 399cc
REC16358-1,243,2025-12-12,1974,Yamaha,Fs1-E,50,,4600,4000,1974 Yamaha FS1-E 50cc
REC16381-1,243,2025-12-12,2003,Harley-Davidson,Xl883C Sportster Custom,883,,4370,3800,2003 Harley-Davidson XL883C Sportster Custom 883cc
REC16379-1,243,2025-12-16,1988,Yamaha,Fs1-M,60,,3105,2700,1988 Yamaha FS1-M 60cc
REC16389-1,243,2025-12-16,1970,Laverda,750Sf,744,,7130,6200,1970 Laverda 750 SF 744cc
REC16389-2,243,2025-12-16,2004,Piaggio,Vespa Gt200L,198,,1725,1500,2004 Piaggio Vespa GT200L 198cc
REC16396-1,243,2025-12-18,1977,Honda,Rickman Metisse Cr750,750,,9430,8200,1977 Rickman Honda CR750 750cc
REC16410-1,243,2025-12-20,1959,Bsa,Dbd34 Gold Star,499,,12075,10500,1959 BSA DBD34 Gold Star 499cc
REC16411-1,243,2025-12-20,1986,Yamaha,Rd500,492,,12305,10700,1986 Yamaha RD500 492cc
REC16412-1,243,2025-12-21,1966,Norton,Triton,750,,4715,4100,1966 Norton Triton 750cc
REC16414-1,243,2025-12-24,1966,Triumph,6T Thunderbird,649,,3680,3200,1966 Triumph 6T Thunderbird 649cc
REC16414-2,243,2025-12-24,1972,Suzuki,T350 Rebel,315,,2990,2600,1972 Suzuki T350 Rebel 315cc
REC16340-1,243,2026-01-07,1998,Moto Guzzi,Sport Corsa 1100,1064,,5175,4500,"1998 Moto Guzzi 1100 Sport Corsa #137 1,064cc"
REC16426-3,243,2026-01-07,1951,Ariel,Square Four,997,,8050,7000,1951 Ariel Square Four 997cc
REC16426-4,243,2026-01-07,1953,Vincent,Series C Rapide,998,,34500,30000,1953 Vincent Series C Rapide Touring 998cc
REC16426-7,243,2026-01-08,2010,Bmw,Hp2 Sport,1170,,13570,11800,"2010 BMW HP2 Sport 1,170cc"
REC16428-1,243,2026-01-08,1967,Greeves,Silverstone,,,4830,4200,1967 Greeves 24RES Silverstone 246cc
REC16429-1,243,2026-01-08,1970,Triumph,T120Rt Bonneville,744,,8625,7500,1970 Triumph T120RT 750 Bonneville 744cc
REC16430-1,243,2026-01-08,1977,Suzuki,Ap50,49,,4140,3600,1977 Suzuki A50P 49cc
REC16437-1,243,2026-01-13,1929,Ariel,Model E,497,,5980,5200,1929 Ariel Model E 497cc
REC16452-1,243,2026-01-14,1950,Scott,Squirrel,596,,5520,4800,1950 Scott Squirrel 'Racer' 596cc
REC16458-1,243,2026-01-15,2005,Suzuki,Rizla Suzuki Gsx-R1000 K5 Bsb,998,,17480,15200,2005 Rizla Suzuki GSX-R1000 K5 BSB 998cc - ex-John Reynolds
REC16459-1,243,2026-01-15,1975,Yamaha,Rd250B,247,,3795,3300,1975 Yamaha RD250B 247cc
REC16461-1,243,2026-01-15,1979,Yamaha,Xt500,499,,3565,3100,1979 Yamaha XT500 499cc
REC16461-2,243,2026-01-15,1982,Yamaha,Xt250,249,,1092,950,1982 Yamaha XT250 249cc
REC16464-1,243,2026-01-15,1948,Moto Guzzi,Motoleggera,65,,3680,3200,1948 Moto Guzzi Motoleggera  65cc
REC16464-3,243,2026-01-15,1957,Mm,250,247,,4830,4200,1957 Moto Mazzetti MM250 247cc
REC16464-2,243,2026-01-17,1952,Mm,250,250,,6900,6000,1952 Moto Mazzetti MM250 247cc
REC16284-2,243,2026-01-18,2000,Suzuki,Tl1000 Sx,996,,1610,1400,2000 Suzuki TL1000 SX 'Streetfighter' 996cc
REC16469-1,243,2026-01-18,1959,Triumph,T120 Bonneville,649,,11960,10400,1959 Triumph T120 Bonneville 649cc
REC16469-2,243,2026-01-18,1959,Triumph,T110 Tiger,649,,8280,7200,1959 Triumph T110 Tiger 649cc
REC16470-1,243,2026-01-19,1968,Fahron Engineering Yamaha,175 Race Bike,175,,1725,1500,c.1968 Fahron Engineering Yamaha 175cc - Project
REC16470-2,243,2026-01-19,1986,Honda,Rs125 Nd4,125,,2990,2600,1986 Honda RS125 ND4 125cc
REC16466-3,243,2026-01-20,1983,Honda,Xl185,180,,1955,1700,1983 Honda XL185S 180cc
REC16477-1,243,2026-01-20,1985,Harris,Harris Kawasaki Race Bike,1179,,8510,7400,"1985 Harris Kawasaki Race Bike 1,179cc"
REC16477-2,243,2026-01-20,1977,Pem Kawasaki,Endurance Racer,998,,10350,9000,1977 PEM Moriwaki Kawasaki Race Bike 998cc
REC16499-1,243,2026-01-21,1934,Norton,Model 18,490,,7820,6800,1934 Norton Model 18 with Swallow Sidecar 490cc
REC16500-1,243,2026-01-21,2001,Ducati,996 Biposto,996,,7820,6800,2001 Ducati 996 Biposto 996cc
REC16501-1,243,2026-01-21,1950,Royal Enfield,Model J1 500,499,,3795,3300,1950 Royal Enfield Model J1 500 449cc
REC16510-1,243,2026-01-23,2005,Confederate,Hellcat,1851,,24725,21500,"2005 Confederate Hellcat 1,851cc"
REC15581-14,243,2026-01-24,1977,Ajw,Fox Cub,50,,1552,1350,1977 AJW Fox Cub Sports Moped 50cc
REC15581-15,243,2026-01-24,1957,Piatti,Cycle Master,125,,3335,2900,1957 Piatti Cycle Master 125cc
REC16489-2,243,2026-01-24,1973,Honda,St 70,,,2645,2300,1973 Honda ST70 Dax 72cc
REC16516-1,243,2026-01-24,1976,Kawasaki,Kt250,246,,2300,2000,1976 Kawasaki KT250 246cc
REC16482-1,243,2026-01-25,1976,Fantic,Caballero 50,49,,2875,2500,1976 Fantic Caballero 50 49cc
REC16482-2,243,2026-01-25,1992,Yamaha,Fzr1000,1002,,3450,3000,"1992 Yamaha FZR1000 1,002cc"
REC16482-3,243,2026-01-25,1985,Yamaha,Rd350Lc2,347,,8280,7200,1985 Yamaha RD350LC2 347cc
REC16386-1,243,2026-01-26,2000,Honda,Valkyrie,1520,,4600,4000,"2000 Honda Valkyrie 1,520cc"
REC16386-18,243,2026-01-26,1956,Adler,Mb250S,250,,2530,2200,1956 Adler MB250 'S' 250cc
REC16386-2,243,2026-01-26,1979,Ducati,900,864,,5290,4600,1979 Ducati 900GTS 864cc
REC16386-20,243,2026-01-26,1959,Nsu,Supermax,250,,3220,2800,1959 NSU Supermax 250cc
REC16386-22,243,2026-01-26,1950,Vincent,Series C Comet,499,,13570,11800,1950 Vincent Series C Comet 499cc
REC16386-25,243,2026-01-26,1952,Vincent,Series C Shadow,998,,43700,38000,1952 Vincent Series C Black Shadow 998cc
REC16386-4,243,2026-01-26,,Nsu Sportsmax,Replica,,,3450,3000,c.1955 NSU Sportmax Replica 250cc
REC16386-5,243,2026-01-26,1958,Adler,Mb250,247,,2645,2300,1958 Adler Favorit 250cc
REC16386-6,243,2026-01-26,1955,Adler,Mb250,250,,2185,1900,c.1955 Adler MB250 250cc
REC16386-10,243,2026-01-27,,Steib,S250,,,575,500,c.1950 Steib TR500 Sidecar
REC16386-11,243,2026-01-27,,Steib,S350,,,690,600,c.1935 Steib S350 Sidecar
REC16386-12,243,2026-01-27,1961,Bmw,R69,600,,10350,9000,1961 BMW R69S 594cc and Steib 501 Sidecar
REC16386-13,243,2026-01-27,1954,Zundapp,Ks601,592,,13800,12000,1954 Zundapp KS601 592cc and Swallow Jet 80 Sidecar
REC16386-14,243,2026-01-27,1967,Bmw,R60,600,,6210,5400,1967 BMW R60/2 590cc and Steib S501 Sidecar
REC16386-15,243,2026-01-27,1959,Bmw,R60,600,,6325,5500,1959 BMW R60 590cc and Steib S500 Sidecar
REC16386-19,243,2026-01-27,1957,Adler,Mb250,250,,3680,3200,1957 Adler Favorit 250cc and Steib LS200 Sidecar
REC16386-21,243,2026-01-27,1956,Adler,Mb250,247,,2415,2100,1956 Adler MB250 247cc
REC16386-3,243,2026-01-27,1979,Honda,250N,249,,1725,1500,1979 Honda 250N Super Dream 249cc
REC16536-1,243,2026-01-27,1975,Bmw,R90S,898,,5980,5200,1975 BMW R90S 898cc
