Make,Model,Year,Price,Mileage,Engine
Honda,CBF125M…,2012,850,17299,125
Suzuki,SV650,2003,1499,39442,650
Lexmoto,RSS 125…,2023,1895,15897,125
CFMOTO,300SR…,2024,1989,4112,292
Talaria,JR-16,,699,,0
Kawasaki,Versys 650…,2014,1499,40000,649
Honda,NTV600… Revere,1989,400,81101,598
Yamasaki,KP125…,,1999,,124
Yamaha,FZ1,2011,1750,36500,998
Keeway,TX 125…,2015,990,16220,125
Kawasaki,ER-5…,2001,999,47000,498
Triumph,Daytona 65…,2005,2495,24624,
Vmoto,TC Wanderer…,2024,1495,80,125
Mobylette,Moped…,1973,500,712,50
Yamaha,R125,2010,1790,22704,
Lexmoto,LS-N 125…,2023,1999,5400,124
Hyosung,GV125…,2023,1399,,125
Suzuki,Intruder 150…,2013,6995,6984,
Kawasaki,J125…,2016,999,16829,125
Suzuki,GS1000…,1991,3495,43219,
Kawasaki,Z800…,2014,3690,32800,806
Suzuki,Bandit 650…,2005,1299,29660,656
Yamasaki,CK50…,,1649,,49
Yamaha,ED06 EC-03…,,590,3391,
Lexmoto,R66,2026,2195,91,125
Suzuki,GSX250R…,2017,2195,7929,248
Honda,CBX,1984,1999,52950,747
Artisan,EV1200…,2017,550,858,
Honda,CRF250L…,2015,2299,9491,250
KTM,390 Duke,2015,900,14650,373
Yamasaki,TY 50 Q-2E…,,1999,,50
Kawasaki,Vulcan 900…,2009,3799,22429,
Honda,XL250,1977,2499,1,248
Hyosung,GT650…,2007,795,21275,650
Sinnis,Terrain 380…,2022,2349,3584,124
Kymco,X-Town 125…,,2699,,
Ariel,Leader,1966,2495,21918,250
Vmoto,TC Max…,2022,1695,4200,125
Lvneng,LX01,2022,740,1840,0
Honda,CB650F…,2016,3490,29151,649
Lexmoto,LXR 125…,,2579,,
Vmoto,CUx,2026,995,99,0
Triumph,Daytona 95…,1999,600,123,955
Suzuki,GS850,1987,2499,24,843
Suzuki,GSX250R…,2020,2595,6075,248
Kove,125R,2024,2195,858,125
Aprilia,Mana 850…,2009,1990,21831,839
Keeway,V-Cruise 125…,2025,3990,15,125
Yamaha,MT-03…,2022,3495,8803,321
Yamasaki,F30,,1499,,
Honda,CRF450X…,2016,3899,4334,449
Kawasaki,KLX 250…,2015,3795,2415,249
Suzuki,GSX250R…,2017,2199,27949,248
Yamaha,YZF750…,1993,1295,36978,750
Gilera,DNA,2003,700,12019,49
Sinnis,GPX 125,2023,2499,4062,124
Herald Motor Co,Maveric… 125,,2389,,124
Aprilia,Dorsoduro… 750,2010,4750,10000,750
Yamaha,WR125R…,2016,2995,25582,124
Yamaha,Tenere 700…,2021,9490,12800,689
Fantic Motor,XEF 250… Enduro Trail,2026,2999,1341,
