Make,Model,Year,Price,Mileage,Engine
Aprilia,RSV4 1100 Factory,2020,13999,10718,1077
Aprilia,Tuareg 660,2025,7999,8224,659
Aprilia,Tuono V4 1100,2022,10999,4332,1077
Yamaha,MT-10 SP,2020,10499,17438,998
Yamaha,XSR700 Anniversary,2016,4999,13715,689
Yamaha,YZF-R125,2014,3999,8000,124
Yamaha,MT-09 Tracer ABS,2015,5499,16938,847
Yamaha,R1,2015,11499,10784,1000
Yamaha,XSR900,2024,7999,3567,
Yamaha,Tricity 125,2018,2499,6212,125
Yamaha,X-Max 125,2024,4199,5338,124
Yamaha,MT-09,2014,6999,9019,847
Yamaha,X-Max 300 Tech Max,2024,4299,4256,292
Yamaha,XSR125,2023,4149,2706,124
Yamaha,MT-07,2015,4499,7070,689
Yamaha,XT660R,2013,5499,6176,659
Yamaha,XJR1300,2013,6299,15516,1250
Yamaha,MT-07,2015,5499,5314,689
Yamaha,Tenere 700 Rally,2022,8999,2036,689
Yamaha,Tricity 300,2026,7499,11,292
Yamaha,Tracer 7 GT,2024,8299,3674,
Yamaha,Tracer 7,2021,6999,1319,689
Yamaha,MT-07 ABS,2017,4999,18668,689
Yamaha,Tracer 700,2018,5799,6592,689
Suzuki,GSX-R1000,2014,8499,1467,999
Suzuki,GSX 800 FRQM5 GSX-8R,2025,6999,3505,776
Suzuki,GSXS 1000,2023,7999,3091,999
Suzuki,GSX 800 FRQM4 GSX-8R,2025,7499,2080,776
Suzuki,GSXS 750 Z,2020,6499,9100,749
Suzuki,AN 650 ZL3,2013,4799,13815,
Suzuki,SV 650 X AL8,2018,3999,9060,645
Suzuki,GSX-S1000GT,2022,7999,9894,999
Suzuki,GSX1300 Hayabusa,2018,9499,6240,1340
Suzuki,GSX-S1000,2020,6299,12096,999
Suzuki,V Strom 650,2018,4499,19346,645
Suzuki,V-Strom DL1050 DE,2023,8999,899,1037
Suzuki,GSX 1250 FAL5,2015,4999,16945,1255
Suzuki,GSXS 1000,2015,5499,13616,999
Suzuki,GSX 1250 FA,2014,4999,12383,1255
Suzuki,V-Strom 1050,2021,6999,16163,1037
Suzuki,GSX-S1000 TRQ M4,2024,9299,4717,999
Suzuki,GSXR 1000,2016,7499,16967,999
Suzuki,GSX 250 R AL8 ABS,2017,2799,6009,248
Suzuki,GSX-S1000GT+,2024,9499,6617,999
Suzuki,GSX-R1000,2014,8499,14235,999
Moto Guzzi,V100 Mandello S,2024,10649,4714,1042
Moto Guzzi,V85 TT Travel,2022,6999,14699,853
Moto Guzzi,V7 III Special,2020,5999,3735,744
Moto Guzzi,V85 TT Travel,2023,7999,7300,853
Moto Guzzi,V100 Mandello,2023,8999,12776,1042
Moto Morini,V7 III Carbon,2019,6299,5280,744
Moto Guzzi,V7 Stone ABS,2015,4299,4057,744
Moto Guzzi,V85 TT,2019,6299,3853,853
KTM,790 Duke,2021,4799,9872,799
KTM,690 Enduro R 23,2023,7999,7968,693
KTM,390 Adventure 25 X,2026,4699,1022,399
KTM,690 Enduro R 23,2024,8499,1966,693
KTM,790 Adventure,2024,7999,3499,799
KTM,690 Enduro R,2020,8499,3056,693
KTM,390 Duke 2014,2014,2799,7345,373
KTM,1290 Super Adventure S,2024,10999,17277,1301
KTM,790 Adventure R,2019,6999,16295,799
KTM,Duke 2,2005,3999,3116,625
KTM,1050 Adventure,2016,6499,2046,1050
KTM,790 Adventure 24,2024,7599,1973,799
KTM,RC 390 17,2018,2999,5141,373
KTM,390 Adventure,2023,3999,2050,373
KTM,890 SMT,2023,7899,7513,889
KTM,390 Adventure,2023,3999,3865,373
KTM,790 Adventure,2020,5999,10345,799
KTM,1290 Super Adventure S,2019,7699,15117,1301
Royal Enfield,Classic 350,2023,3499,1075,349
Royal Enfield,Himalayan 20,2021,3499,6400,411
Royal Enfield,Meteor 350 E5,2022,3399,713,349
Royal Enfield,Meteor 350 E5,2021,3999,6413,349
Royal Enfield,Classic 350 E5,2025,2999,2499,349
Royal Enfield,Meteor 350 E5,2021,2999,4029,
Royal Enfield,Himalayan E5,2022,2499,9376,411
Royal Enfield,Bullet Classic EFI,2015,2999,7247,499
Royal Enfield,Himalayan E5,2022,3299,7613,411
