id,make,model,variant,years,current_private,current_dealer,current_as_of,current_source,new_private,new_dealer,sample_size,source,confidence,notes
honda-vf750f-interceptor-1983,Honda,VF750F,Interceptor,1983-1986,2250,5000,2026-08-16,uk-market-research,1800,3000,2,uk-classifieds-2026,researched,"UK runner at GBP1,550 with 40k miles; the old GBP5,000 dealer figure was US collector money, not a UK forecourt"
kawasaki-gpz600r-1985,Kawasaki,GPZ600R,,1985-1989,1100,2500,2026-08-16,uk-market-research,1400,2600,3,uk-classifieds-2026,researched,"UK asks of GBP1,250 (original) to GBP2,803; Iconic has sold several"
suzuki-dr750s-big-1988,Suzuki,DR750S,Big,1988-1990,2500,5500,2026-08-17,uk-market-research,3800,5800,2,uk-classifieds-2026,thin,"Cult status is lifting these; UK sales are too sparse to be firm, US range USD2,000-8,000"
kawasaki-er-5-1997,Kawasaki,ER-5,,1997-2006,700,1600,2026-08-17,uk-market-research,900,1600,3,uk-classifieds-2026,researched,"2005 example GBP990, 1997 project GBP895; a genuine banger-money commuter"
triumph-tiger-900-1993,Triumph,Tiger,900,1993-2000,2000,4500,2026-08-17,uk-market-research,2200,3400,2,uk-classifieds-2026,thin,"Steel-framed 'Steamer'; contemporary Sprint/Daytona 900s trade at GBP795-1,495 and Tigers a little above"
kawasaki-kle500-1991,Kawasaki,KLE500,,1991-2007,1000,2200,2026-08-17,uk-market-research,1100,2000,1,uk-classifieds-2026,thin,Searches are now swamped by the 2026 KLE500 revival; the 1991-2007 bike is still banger money
ducati-multistrada-1100-2003,Ducati,Multistrada,1100,2003-2009,2500,4500,2026-08-17,uk-market-research,3200,4800,4,uk-classifieds-2026,researched,"UK ask GBP5,950; European trade EUR3,500-6,450. Belt and service history is the whole game"
kawasaki-vulcan-s-2015,Kawasaki,Vulcan S,,2015-2024,3800,5800,2026-08-17,uk-market-research,4200,5600,79,uk-classifieds-2026,researched,"79 on Autotrader, dealer range GBP4,095-6,299, median GBP5,995 across 2015-2026"
royal-enfield-himalayan-2018,Royal Enfield,Himalayan,,2018-2024,3200,5000,2026-08-17,uk-market-research,2700,3700,4,uk-classifieds-2026,researched,"2019/12k mi GBP2,395; 2021 GBP2,990; 2023 GBP3,690; 2024 GBP4,399. Old GBP5,000 dealer figure was well over the market"
kawasaki-ninja-zx-4rr-2023,Kawasaki,Ninja ZX-4RR,,2023-2025,6500,8000,2026-08-17,uk-market-research,6800,8200,23,uk-classifieds-2026,researched,"23 on MCN, dealer stock GBP7,500-9,699 against GBP8,799 new; most are delivery-mileage"
ducati-panigale-v2-2020,Ducati,Panigale,V2,2020-2025,10000,13500,2026-08-17,uk-market-research,9500,12000,5,uk-classifieds-2026,researched,"2020 GBP11,500, 2022 GBP11,750, 2026 GBP11,250 trade. The old GBP13,500 dealer figure was above real stock"
ducati-desertx-2022,Ducati,DesertX,,2022-2025,12000,16000,2026-08-17,uk-market-research,9500,11500,4,uk-classifieds-2026,researched,"2022 GBP9,890, 2024 GBP10,800. Was badly over-priced at GBP12,000/16,000"
honda-vf1000r-1984,Honda,VF1000R,,1984-1988,6300,14000,2026-08-16,uk-market-research,5500,8500,3,uk-classifieds-2026,researched,"UK ask GBP5,250; auction USD7,062. Rising, but GBP14,000 was concours-only money"
harley-davidson-street-bob-2006,Harley-Davidson,Street Bob,,2006-2025,6500,13000,2026-08-17,uk-market-research,8500,13500,26,uk-classifieds-2026,thin,"Split price: 2006-2017 Dyna trades at GBP6-9k, 2018-on M8 Softail at GBP12,795-15,345. One figure cannot honestly cover both - this entry needs splitting"
suzuki-gsx-8r-2024,Suzuki,GSX-8R,,2024-2025,6500,8200,2026-08-17,uk-market-research,5800,6900,4,uk-classifieds-2026,researched,"2024/3k mi GBP6,600, 2025/5.8k mi GBP6,699 against GBP8,399-8,999 new"
zero-ds-2013,Zero,DS,,2013-2024,3500,7000,2026-08-17,ev-dealer-stock,3800,5800,5,ev-dealer-stock-2026,researched,"2021 GBP5,500; English Electric used Zero stock GBP3,890-8,990 across the range"
energica-eva-ribelle-2020,Energica,Eva Ribelle,,2020-2024,9000,16000,2026-08-17,ev-dealer-stock,9500,12500,3,ev-dealer-stock-2026,researched,"Used GBP9,990-12,937 against GBP19,725 launch and GBP26,690 by 2023. Brutal depreciation"
super-soco-tc-max-2019,Super Soco,TC Max,,2019-2025,1800,3000,2026-08-17,ev-dealer-stock,2200,3200,5,ev-dealer-stock-2026,researched,"Used GBP2,836-3,999; new 2026 discounted to GBP3,695, which caps the used market"
lambretta-sx200-1966,Lambretta,SX200,,1966-1969,6750,15000,2026-08-17,uk-market-research,11000,16000,6,vintagescooters-guide-2026,researched,"Vintage Scooters puts SX200/TV200/GP200 in a GBP10,000-30,000 tier, doubled in ten years. Private figure was well under the market"
ariel-red-hunter-1932,Ariel,Red Hunter,,1932-1959,4000,8000,2026-08-17,own-classifieds,6000,8500,5,auction+own-classifieds-2026,researched,"Our own classifieds: NH350 GBP3,600, Ariel GBP2,950. Iconic: Huntmaster GBP2,875, NH350 project GBP667. The 497 VH sits above all of these"
italjet-dragster-125-2019,Italjet,Dragster 125,,2019-2026,2600,3300,2026-08-19,scootering-crossref-2026,2800,3500,5,uk-classifieds-2026,researched,"Trade stock about GBP3,499; private 200s down at GBP2,999"
italjet-dragster-300-2020,Italjet,Dragster 300,,2020-2026,3800,4700,2026-08-19,scootering-crossref-2026,3700,4600,6,uk-classifieds-2026,thin,"Read across from 200 stock at GBP2,999-3,980; too few 300s trading to be firm"
vespa-946-2013,Vespa,946,,2013-2023,6500,8500,2026-08-19,scootering-crossref-2026,6800,8800,3,uk-classifieds-2026,researched,"2018 Red LE, 2,799 miles, GBP7,999 UK. European stock EUR7,990 upward"
ajs-modena-125-2015,AJS,Modena 125,,2015-2026,900,1400,2026-08-19,scootering-crossref-2026,1000,1900,9,uk-classifieds-2026,researched,"Private GBP700-1,600, dealer GBP1,999-2,295. 9 on Autotrader"
aprilia-sr-gt-400-2022,Aprilia,SR GT 400,,2022-2026,3400,4300,2026-08-19,scootering-crossref-2026,3600,4600,21,uk-classifieds-2026,researched,"21 on Autotrader against GBP5,999-6,199 new"
lambretta-x300-2023,Lambretta,X300,,2023-2026,3600,4500,2026-08-19,scootering-crossref-2026,3500,4300,5,uk-classifieds-2026,researched,"2026 dealer stock GBP4,499-4,999; a 2025 with 300 miles already down to GBP4,295"
