Rank,Make,Model,Era/Decade,Year Introduced,Description,Average UK Price (£)
1,Honda,VTR1000SP1 / SP2 (RC51),2000s,2000,"HRC-built V-twin superbike created specifically to beat Ducati in World Superbikes, achieving championship glory with Colin Edwards.","7,500 - 14,000"
2,Suzuki,GSX-R1000 K1 / K5,2000s,2001,"The K1 redefined open-class superbikes with brutal power, while the legendary 2005 K5 model is widely considered one of the greatest superbikes ever built.","3,800 - 8,500"
3,Yamaha,YZF-R1 (Crossplane RN22),2000s,2009,"Introduced Moto-GP derived crossplane crankshaft technology to production road bikes, producing a distinctive V4-like roar and tractability.","5,500 - 9,500"
4,Kawasaki,Ninja ZX-10R (C1H/C2H),2000s,2004,"A raw, unfiltered 175bhp liter-bike monster renowned for its explosive power-to-weight ratio and fierce character.","4,200 - 7,800"
5,Honda,CBR1000RR Fireblade (RR-4 / RR-8),2000s,2004,Introduced Unit Pro-Link suspension and electronic steering dampers; the 2008 redesign delivered ultra-compact dimensions and effortless speed.,"3,800 - 7,500"
6,Yamaha,YZF-R6 (RJ11 / RJ15),2000s,2006,"High-revving 17,500 RPM supersport masterpiece featuring fly-by-wire throttle and aggressive track-focused geometry.","4,000 - 7,200"
7,Kawasaki,ZZR1400 (ZX-14),2000s,2006,"Hyper-touring titan engineered to challenge the Hayabusa with massive torque, 200PS, and high-speed stability.","4,500 - 9,000"
8,Suzuki,GSX1300R Hayabusa (Gen 2),2000s,2008,"Upgraded with a 1340cc engine producing 194bhp, refined electronics, and updated hyperbike aerodynamics.","5,200 - 9,500"
9,Honda,CB1300 Super Four / Bol d'Or,2000s,2003,Retro-styled muscular big-bore naked machine combining classic late-70s aesthetics with bulletproof modern fuel injection.,"4,000 - 7,500"
10,Yamaha,MT-01,2000s,2005,Bizarre and brilliant engineering crossover pairing a massive 1670cc air-cooled V-twin cruiser motor with sports chassis components.,"6,000 - 10,500"
11,Suzuki,SV650 / SV650S,2000s,1999,"The ultimate accessible middleweight V-twin, beloved by road commuters, track day enthusiasts, and club racers alike.","1,800 - 3,800"
12,Kawasaki,Z1000 (ZR1000A),2000s,2003,Aggressively styled super-naked that revived Kawasaki's Z brand with distinct quad quad-pipe exhausts.,"3,200 - 5,800"
13,Honda,GL1800 Gold Wing,2000s,2001,"1832cc flat-six touring monarch featuring reverse gear, combined ABS, integrated audio, and even an optional airbag.","6,500 - 13,500"
14,Yamaha,FJR1300,2000s,2001,Long-haul sports tourer legendary for covering continent-crossing distances with effortless shaft-driven power.,"2,800 - 7,000"
15,Suzuki,GSX1400,2000s,2001,"The biggest air/oil-cooled four-cylinder naked muscle bike, delivering low-end torque in abundance.","4,200 - 8,000"
16,Kawasaki,ER-6n / Ninja 650,2000s,2005,Compact 650cc parallel-twin middleweight that became the bedrock for commuter riding and Isle of Man Lightweight TT racing.,"2,000 - 4,200"
17,Kawasaki,Ninja H2 / H2R,2010s,2015,"Supercharged 998cc engineering tour de force, outputting 200+ hp in road trim and 310+ hp in track-only H2R form.","18,000 - 32,000"
18,Yamaha,MT-09 / FZ-09,2010s,2013,"Launched Yamaha's 'Dark Side of Japan' ethos with a punchy 847cc CP3 triple engine, reigniting the affordable naked market.","4,200 - 7,800"
19,Honda,CRF1000L Africa Twin,2010s,2016,Revived the legendary nameplate with a balanced 21-inch front wheel adventure layout and optional Dual Clutch Transmission (DCT).,"6,500 - 10,500"
20,Yamaha,Ténéré 700 (T7),2010s,2019,"No-nonsense, rally-inspired adventure bike built around the beloved CP2 engine, prioritizing off-road capability.","6,800 - 9,200"
21,Honda,RC213V-S,2010s,2015,An authentic road-legal MotoGP bike for the public; limited production hand-built V4 machine costing £137k at launch.,"140,000 - 220,000"
22,Yamaha,YZF-R1M,2010s,2015,"Homologation-grade superbike equipped with Öhlins electronic suspension, carbon bodywork, and 6-axis IMU electronics.","12,500 - 19,000"
23,Suzuki,GSX-R1000R (L7),2010s,2017,Introduced mechanical Variable Valve Timing (VVT) directly adapted from Suzuki's GSX-RR MotoGP program.,"8,500 - 13,000"
24,Kawasaki,Z900RS,2010s,2018,Masterclass modern-classic paying tribute to the 1972 Z1 900 with tear-drop tank styling and smooth 948cc four-cylinder performance.,"6,800 - 9,800"
25,Yamaha,MT-07 / FZ-07,2010s,2014,Best-selling middleweight naked bike powered by the ultra-flexible 689cc crossplane parallel-twin CP2 motor.,"3,800 - 6,200"
26,Honda,VFR1200F,2010s,2010,Technological showcase debuting Honda's revolutionary Dual Clutch Transmission (DCT) in a 1237cc V4 shaft-drive shell.,"4,200 - 7,200"
27,Kawasaki,Ninja1000SX / Z1000SX,2010s,2011,"Consistently the UK's best-selling sports tourer, offering real-world ergonomics with high-performance 1043cc four-cylinder power.","4,500 - 9,500"
28,Suzuki,V-Strom 1000 / 1050,2010s,2014,"Dependable, practical long-distance adventure machine powered by a torquey 90-degree V-twin engine.","4,500 - 8,800"
29,Honda,CB650R Neo Sports Café,2010s,2019,"Stylish middleweight featuring retro-futuristic aesthetics, screaming inline-four power, and iconic waterfall exhaust headers.","4,800 - 6,800"
30,Yamaha,MT-10 / SP,2010s,2016,"Stripped-back hyper-naked based on the crossplane R1 superbike chassis and engine, tuned for maximum street torque.","7,200 - 12,000"
31,Kawasaki,Ninja H2 SX SE,2010s,2018,Balanced supercharged hyper-tourer offering effortless 200hp overtaking performance with panniers and electronic suspension.,"10,500 - 16,500"
32,Suzuki,KATANA (GSX-S1000S),2010s,2019,"Modern homage to Hans Muth's original 1981 Katana icon, built around the long-stroke GSX-R1000 K5 engine base.","6,500 - 9,500"
33,Honda,Grom (MSX125),2010s,2014,Cult mini-moto phenomenon that spawned a global custom subculture and renewed youth interest in riding.,"2,000 - 3,400"
34,Honda,CBR1000RR-R Fireblade SP,2020s,2020,"Track-focused redesign with MotoGP aero winglets, 214bhp, and ultra-short stroke engine built to dominate World Superbikes.","14,500 - 22,000"
35,Kawasaki,Ninja ZX-4RR,2020s,2023,"Revived the legendary 400cc 16,000 RPM high-revving inline-four supersport category for the modern era.","7,200 - 8,600"
36,Suzuki,GSX1300R Hayabusa (Gen 3),2020s,2021,"Third-generation hyperbike featuring modern 6-axis IMU suite, launch control, and updated aerodynamic bodywork.","11,500 - 16,000"
37,Honda,CB750 Hornet,2020s,2023,"Reinvented middleweight naked powered by a high-output 270-degree parallel twin engine, disrupting the price-to-performance market.","5,500 - 6,800"
38,Yamaha,XSR900 GP,2020s,2024,Stunning retro sports bike wearing 1980s YZR500 Grand Prix fairing styling over the modern 890cc CP3 chassis.,"10,200 - 12,000"
39,Suzuki,GSX-8S / GSX-8R,2020s,2023,"Suzuki's modern 776cc parallel-twin platform featuring cross balancer tech, setting new middleweight standards.","6,200 - 8,200"
40,Kawasaki,Ninja 7 Hybrid / Z 7 Hybrid,2020s,2024,"World's first strong hybrid production motorcycle, pairing a 451cc twin with an electric motor for e-boost acceleration.","8,500 - 10,000"
41,Honda,XL750 Transalp,2020s,2023,Resurrected dual-purpose adventure badge providing accessible touring capability and versatile daily performance.,"7,000 - 8,500"
42,Yamaha,YZF-R7,2020s,2022,"Accessible supersport bike utilizing the punchy CP2 twin motor in a lightweight, razor-sharp supersport frame.","6,500 - 8,200"
43,Kawasaki,ZX-6R (636 Update),2020s,2024,"Kept pure 600-class supersports alive with updated styling, TFT display, and Euro5+ compliant 636cc high-rev engine.","9,200 - 10,800"
44,Suzuki,V-Strom 800DE,2020s,2023,"Off-road focused adventure machine with 21-inch front wheel and long travel suspension, winning middleweight comparisons.","7,800 - 9,500"
45,Honda,E-Clutch CB650R / CBR650R,2020s,2024,"Pioneered electronic clutch technology allowing clutchless starting, stopping, and gear shifting without stalled engines.","7,200 - 8,800"
46,Yamaha,NIKEN / GT,2020s,2018,"Radical leaning multi-wheel (LMW) sport tourer powered by the CP3 triple, offering unprecedented front-end cornering grip.","8,500 - 13,000"
47,Suzuki,GSX-S1000GT,2020s,2022,"Sharp-edged grand tourer based on the GSX-R1000 engine, featuring hard luggage, cruise control, and connected TFT dash.","8,800 - 11,200"
48,Kawasaki,Z H2 / SE,2020s,2020,Flagship supercharged hyper-naked bike producing 197bhp with extreme Sugomi styling and electronic chassis control.,"11,000 - 16,500"
49,Honda,HAWK 11,2020s,2022,Neo-retro café racer featuring a rocket fairing around the torque-rich 1084cc Africa Twin parallel twin power plant.,"8,500 - 11,000"
50,Yamaha,YZF-R9,2020s,2025,"The long-awaited CP3-powered supersport flagship filling the void left by the road-going R1, featuring full winglets and race chassis.","11,500 - 13,000"
