id,make,model,verdict_significance
kawasaki-zx-6r-636-2013,Kawasaki,ZX-6R,7
yamaha-mt-07-2014,Yamaha,MT-07,9
honda-cb500f-2013,Honda,CB500F,8
suzuki-sv650-2016,Suzuki,SV650,8
triumph-street-triple-675-2013,Triumph,Street Triple,8
yamaha-mt-09-2014,Yamaha,MT-09,8
ktm-390-duke-2013,KTM,390 Duke,7
honda-cbr600rr-2007,Honda,CBR600RR,8
yamaha-yzf-r6-2006,Yamaha,YZF-R6,8
suzuki-gsx-r750-2011,Suzuki,GSX-R750,9
bmw-s1000rr-2010,BMW,S1000RR,9
kawasaki-z900-2017,Kawasaki,Z900,8
ducati-monster-821-2014,Ducati,Monster 821,7
bmw-r1200gs-lc-2013,BMW,R1200GS,9
honda-crf1000l-africa-twin-2016,Honda,CRF1000L Africa Twin,8
triumph-tiger-800-xc-2011,Triumph,Tiger 800,7
yamaha-tracer-900-2015,Yamaha,Tracer 900,8
kawasaki-versys-650-2015,Kawasaki,Versys 650,7
honda-vfr800-vtec-2002,Honda,VFR800,7
suzuki-gsx-s1000-2015,Suzuki,GSX-S1000,8
triumph-bonneville-t100-2017,Triumph,Bonneville T100,8
ducati-scrambler-icon-2015,Ducati,Scrambler Icon,7
harley-davidson-iron-883-2009,Harley-Davidson,Sportster Iron 883,6
honda-cb650r-2019,Honda,CB650R,8
kawasaki-ninja-650-2017,Kawasaki,Ninja 650,7
aprilia-rs660-2020,Aprilia,RS660,8
ktm-890-duke-r-2020,KTM,890 Duke R,8
triumph-speed-triple-1050-rs-2018,Triumph,Speed Triple 1050,8
honda-nc750x-2014,Honda,NC750X,7
yamaha-xsr700-2016,Yamaha,XSR700,8
honda-cb750-f2-1977,Honda,CB750,7
honda-cbx1000-1978,Honda,CBX1000,8
honda-vf750f-interceptor-1983,Honda,VF750F,6
honda-vfr750r-rc30-1988,Honda,VFR750R,10
honda-cbr600f-1987,Honda,CBR600F,8
honda-cbr1000f-1987,Honda,CBR1000F,7
honda-ns400r-1985,Honda,NS400R,8
honda-xbr500-1985,Honda,XBR500,6
honda-transalp-xl600v-1987,Honda,Transalp,7
honda-africa-twin-xrv750-1990,Honda,Africa Twin,8
yamaha-rd350-lc-1980,Yamaha,RD350,9
yamaha-rd500lc-1984,Yamaha,RD500LC,9
yamaha-fz750-1985,Yamaha,FZ750,7
yamaha-fzr1000-exup-1989,Yamaha,FZR1000,9
yamaha-xj900-1983,Yamaha,XJ900,7
yamaha-sr500-1978,Yamaha,SR500,7
yamaha-v-max-1985,Yamaha,V-Max,8
yamaha-fj1200-1986,Yamaha,FJ1200,7
suzuki-gsx-r750-slabside-1985,Suzuki,GSX-R750,9
suzuki-gsx-r1100-1986,Suzuki,GSX-R1100,8
suzuki-rg500-gamma-1985,Suzuki,RG500,9
suzuki-gsx1100s-katana-1981,Suzuki,GSX1100S,8
kawasaki-gpz900r-1984,Kawasaki,GPZ900R,9
kawasaki-gpz600r-1985,Kawasaki,GPZ600R,7
kawasaki-zxr750-1989,Kawasaki,ZXR750,8
kawasaki-z1300-1979,Kawasaki,Z1300,7
bmw-r80g-s-1980,BMW,R80G/S,9
bmw-k100-1983,BMW,K100,7
bmw-r100rs-1976,BMW,R100RS,8
ducati-851-1988,Ducati,851,8
moto-guzzi-le-mans-1976,Moto Guzzi,Le Mans,7
laverda-jota-1976,Laverda,Jota,8
triumph-bonneville-t140-1973,Triumph,Bonneville,6
norton-commando-850-1973,Norton,Commando,7
harley-davidson-fxr-1982,Harley-Davidson,FXR,7
honda-gold-wing-gl1100-1980,Honda,Gold Wing,7
suzuki-dr750s-big-1988,Suzuki,DR750S,6
yamaha-tdr250-1988,Yamaha,TDR250,7
kawasaki-gt550-1983,Kawasaki,GT550,6
suzuki-gs550-1977,Suzuki,GS550,7
honda-cb900f-bol-d-or-1979,Honda,CB900F,7
yamaha-xt500-1976,Yamaha,XT500,8
honda-cbr900rr-fireblade-1992,Honda,CBR900RR,10
honda-cbr600f-f3-1991,Honda,CBR600F,8
honda-vfr750f-1990,Honda,VFR750F,9
honda-cb600f-hornet-1998,Honda,CB600F,8
honda-vtr1000f-firestorm-1997,Honda,VTR1000F,7
honda-cbr1100xx-blackbird-1996,Honda,CBR1100XX,9
honda-nx650-dominator-1988,Honda,NX650,7
yamaha-yzf-r1-1998,Yamaha,YZF-R1,10
yamaha-yzf-r6-1999,Yamaha,YZF-R6,8
yamaha-yzf1000r-thunderace-1996,Yamaha,YZF1000R,7
yamaha-trx850-1995,Yamaha,TRX850,7
yamaha-xjr1300-1998,Yamaha,XJR1300,8
yamaha-fzs600-fazer-1998,Yamaha,FZS600,8
yamaha-tdm850-1991,Yamaha,TDM850,7
yamaha-xj600-diversion-1992,Yamaha,XJ600,6
suzuki-gsf600-bandit-1995,Suzuki,GSF600,8
suzuki-gsf1200-bandit-1996,Suzuki,GSF1200,9
suzuki-tl1000s-1997,Suzuki,TL1000S,6
suzuki-gsx-r600-srad-1997,Suzuki,GSX-R600,7
suzuki-gsx1300r-hayabusa-1999,Suzuki,GSX1300R,9
suzuki-rf900r-1994,Suzuki,RF900R,7
kawasaki-zzr1100-1990,Kawasaki,ZZR1100,9
kawasaki-zx-7r-1996,Kawasaki,ZX-7R,8
kawasaki-zx-9r-1994,Kawasaki,ZX-9R,8
kawasaki-er-5-1997,Kawasaki,ER-5,6
kawasaki-w650-1999,Kawasaki,W650,8
triumph-speed-triple-t509-1997,Triumph,Speed Triple,8
triumph-daytona-955i-1997,Triumph,Daytona,7
triumph-trophy-1200-1991,Triumph,Trophy,7
triumph-thunderbird-900-1995,Triumph,Thunderbird,7
triumph-tiger-900-1993,Triumph,Tiger,7
ducati-916-1994,Ducati,916,10
ducati-748-1995,Ducati,748,8
ducati-monster-m900-1993,Ducati,Monster,8
aprilia-rs250-1995,Aprilia,RS250,9
aprilia-pegaso-650-1992,Aprilia,Pegaso,6
bmw-r1100gs-1994,BMW,R1100GS,8
bmw-f650-funduro-1993,BMW,F650,7
bmw-r1100s-1998,BMW,R1100S,7
cagiva-mito-125-1990,Cagiva,Mito,8
honda-cg125-1976,Honda,CG125,7
kawasaki-kle500-1991,Kawasaki,KLE500,6
suzuki-dr350-1990,Suzuki,DR350,7
honda-cb1000-big-one-1993,Honda,CB1000,7
honda-cbr1000rr-fireblade-2004,Honda,CBR1000RR,8
honda-cbr954rr-fireblade-2002,Honda,CBR954RR,9
honda-cbf600-2004,Honda,CBF600,7
honda-cbf1000-2006,Honda,CBF1000,7
honda-xl1000v-varadero-1999,Honda,XL1000V,7
honda-st1300-pan-european-2002,Honda,ST1300,8
honda-nt700v-deauville-2006,Honda,NT700V,6
yamaha-yzf-r1-2004,Yamaha,YZF-R1,9
yamaha-fz6-fazer-2004,Yamaha,FZ6,7
yamaha-fz1-fazer-2006,Yamaha,FZ1,8
yamaha-mt-01-2005,Yamaha,MT-01,7
yamaha-xt660r-2004,Yamaha,XT660R,7
yamaha-tdm900-2002,Yamaha,TDM900,7
suzuki-gsx-r1000-k5-2005,Suzuki,GSX-R1000,10
suzuki-sv650s-1999,Suzuki,SV650S,8
suzuki-dl650-v-strom-2004,Suzuki,DL650,8
suzuki-dl1000-v-strom-2002,Suzuki,DL1000,7
suzuki-gsr600-2006,Suzuki,GSR600,6
kawasaki-zx-10r-2004,Kawasaki,ZX-10R,8
kawasaki-z750-2004,Kawasaki,Z750,7
kawasaki-z1000-2003,Kawasaki,Z1000,8
kawasaki-er-6n-2006,Kawasaki,ER-6n,7
kawasaki-zzr1400-2006,Kawasaki,ZZR1400,9
kawasaki-w800-2011,Kawasaki,W800,8
triumph-speed-triple-1050-2005,Triumph,Speed Triple,8
triumph-sprint-st-1050-2005,Triumph,Sprint ST,8
triumph-rocket-iii-2004,Triumph,Rocket III,7
triumph-scrambler-900-2006,Triumph,Scrambler,7
triumph-daytona-675-2006,Triumph,Daytona,9
triumph-tiger-1050-2007,Triumph,Tiger,7
triumph-bonneville-865-2001,Triumph,Bonneville,8
triumph-thruxton-900-2004,Triumph,Thruxton,8
bmw-r1200gs-2004,BMW,R1200GS,9
bmw-f800gs-2008,BMW,F800GS,8
bmw-k1200s-2004,BMW,K1200S,7
bmw-r1200rt-2005,BMW,R1200RT,8
ducati-multistrada-1100-2003,Ducati,Multistrada,7
ducati-monster-696-2008,Ducati,Monster,7
ducati-1098-2007,Ducati,1098,9
ducati-hypermotard-1100-2007,Ducati,Hypermotard,7
ktm-990-adventure-2006,KTM,990 Adventure,8
ktm-990-super-duke-2005,KTM,990 Super Duke,8
aprilia-rsv-mille-1998,Aprilia,RSV Mille,8
aprilia-tuono-1000-2002,Aprilia,Tuono,9
harley-davidson-sportster-1200-2004,Harley-Davidson,Sportster,6
harley-davidson-v-rod-2002,Harley-Davidson,V-Rod,7
buell-xb12s-lightning-2004,Buell,XB12S,7
mv-agusta-brutale-910-2005,MV Agusta,Brutale,8
moto-guzzi-v7-classic-2008,Moto Guzzi,V7,7
royal-enfield-bullet-500-2000,Royal Enfield,Bullet,6
suzuki-gsf650-bandit-2005,Suzuki,GSF650,7
honda-cbr500r-2013,Honda,CBR500R,7
honda-cb500x-2013,Honda,CB500X,8
honda-cb1000r-2008,Honda,CB1000R,7
honda-cbr1000rr-fireblade-2008,Honda,CBR1000RR,8
honda-cbr650f-2014,Honda,CBR650F,7
honda-msx125-grom-2013,Honda,MSX125,8
honda-crf250l-2012,Honda,CRF250L,7
honda-vfr800f-2014,Honda,VFR800F,8
honda-cmx500-rebel-2017,Honda,CMX500,7
yamaha-mt-125-2014,Yamaha,MT-125,7
yamaha-mt-03-2016,Yamaha,MT-03,7
yamaha-yzf-r3-2015,Yamaha,YZF-R3,7
yamaha-tracer-700-2016,Yamaha,Tracer 700,8
yamaha-xsr900-2016,Yamaha,XSR900,8
yamaha-tenere-700-2019,Yamaha,Tenere 700,9
yamaha-fjr1300-2001,Yamaha,FJR1300,8
suzuki-gsx-r1000-2009,Suzuki,GSX-R1000,8
suzuki-gsx-s750-2015,Suzuki,GSX-S750,7
suzuki-dl650-v-strom-2012,Suzuki,DL650,8
kawasaki-z650-2017,Kawasaki,Z650,7
kawasaki-ninja-400-2018,Kawasaki,Ninja 400,8
kawasaki-z1000sx-2011,Kawasaki,Z1000SX,9
kawasaki-z900rs-2018,Kawasaki,Z900RS,9
kawasaki-versys-1000-2012,Kawasaki,Versys 1000,7
kawasaki-vulcan-s-2015,Kawasaki,Vulcan S,7
triumph-street-triple-765-2017,Triumph,Street Triple,9
triumph-bonneville-t120-2016,Triumph,Bonneville,8
triumph-bobber-2017,Triumph,Bobber,8
triumph-speed-twin-1200-2019,Triumph,Speed Twin,9
triumph-street-scrambler-2017,Triumph,Street Scrambler,7
bmw-r-ninet-2014,BMW,R nineT,9
bmw-s1000r-2014,BMW,S1000R,8
bmw-g310r-2017,BMW,G310R,6
bmw-r1250gs-2019,BMW,R1250GS,9
ducati-panigale-959-2016,Ducati,Panigale,8
ducati-monster-1200-2014,Ducati,Monster,8
ducati-multistrada-1200-2010,Ducati,Multistrada,8
ducati-diavel-2011,Ducati,Diavel,8
ktm-1290-super-duke-r-2014,KTM,1290 Super Duke R,9
ktm-690-duke-2012,KTM,690 Duke,8
ktm-rc390-2014,KTM,RC390,7
ktm-790-duke-2018,KTM,790 Duke,9
aprilia-rsv4-2009,Aprilia,RSV4,9
aprilia-tuono-v4-2011,Aprilia,Tuono,9
mv-agusta-f3-675-2012,MV Agusta,F3,8
royal-enfield-interceptor-650-2018,Royal Enfield,Interceptor,8
royal-enfield-himalayan-2018,Royal Enfield,Himalayan,7
husqvarna-svartpilen-401-2018,Husqvarna,Svartpilen,7
indian-scout-2015,Indian,Scout,8
moto-guzzi-v9-roamer-2016,Moto Guzzi,V9,7
benelli-trk502-2017,Benelli,TRK502,6
kawasaki-zx-10r-2011,Kawasaki,ZX-10R,9
suzuki-katana-2019,Suzuki,Katana,7
triumph-tiger-sport-1050-2013,Triumph,Tiger Sport,7
honda-x-adv-2017,Honda,X-ADV,7
honda-cb750-hornet-2023,Honda,CB750 Hornet,8
honda-crf1100l-africa-twin-2020,Honda,CRF1100L,9
honda-nt1100-2022,Honda,NT1100,8
honda-xl750-transalp-2023,Honda,XL750 Transalp,8
honda-cmx1100-rebel-2021,Honda,CMX1100,7
honda-crf300l-2021,Honda,CRF300L,7
yamaha-mt-09-2021,Yamaha,MT-09,9
yamaha-mt-07-2021,Yamaha,MT-07,8
yamaha-yzf-r7-2022,Yamaha,YZF-R7,8
yamaha-tracer-9-gt-2021,Yamaha,Tracer 9,9
yamaha-mt-10-2022,Yamaha,MT-10,9
suzuki-gsx-8s-2023,Suzuki,GSX-8S,8
suzuki-v-strom-800de-2023,Suzuki,V-Strom 800DE,8
suzuki-gsx-s1000gt-2022,Suzuki,GSX-S1000GT,8
suzuki-gsx1300r-hayabusa-2021,Suzuki,GSX1300R,9
kawasaki-ninja-1000sx-2020,Kawasaki,Ninja 1000SX,9
kawasaki-z650rs-2022,Kawasaki,Z650RS,8
kawasaki-ninja-zx-4rr-2023,Kawasaki,Ninja ZX-4RR,8
triumph-trident-660-2021,Triumph,Trident,9
triumph-tiger-900-2020,Triumph,Tiger 900,8
triumph-speed-triple-1200-rs-2021,Triumph,Speed Triple,9
triumph-tiger-sport-660-2022,Triumph,Tiger Sport,8
triumph-speed-400-2024,Triumph,Speed 400,8
triumph-daytona-660-2024,Triumph,Daytona,8
bmw-r1300gs-2024,BMW,R1300GS,9
bmw-f900xr-2020,BMW,F900XR,8
bmw-r18-2020,BMW,R18,7
bmw-s1000xr-2020,BMW,S1000XR,9
ducati-multistrada-v4-2021,Ducati,Multistrada,9
ducati-streetfighter-v4-2020,Ducati,Streetfighter,9
ducati-panigale-v2-2020,Ducati,Panigale,9
ducati-desertx-2022,Ducati,DesertX,8
ktm-890-adventure-2021,KTM,890 Adventure,8
ktm-1290-super-adventure-2021,KTM,1290 Super Adventure,9
aprilia-tuono-660-2021,Aprilia,Tuono,8
aprilia-tuareg-660-2022,Aprilia,Tuareg,8
harley-davidson-pan-america-2021,Harley-Davidson,Pan America,8
harley-davidson-nightster-2022,Harley-Davidson,Nightster,7
indian-ftr1200-2019,Indian,FTR1200,8
royal-enfield-super-meteor-650-2023,Royal Enfield,Super Meteor,7
royal-enfield-hunter-350-2022,Royal Enfield,Hunter,7
cfmoto-700cl-x-2021,CFMoto,700CL-X,7
zero-sr-f-2020,Zero,SR/F,7
